Last name,First name,Middle name,Role,School,Grade
Boyd,Legend,Jaylen,Teacher,Westside,
López,Sara,Finley,Student,Southside,10
Walls,Xavier,Louis,Student,Eastside,K
Duke,Madison,Kennedi,Teacher,Eastside,
Knapp,Sebastián,Isaiah,Teacher,Eastside,
Arnold,Henry,Frank,Teacher,Southside,
Rivas,Shawn,Dakota,Student,Southside,6
Mercer,Amaya,Katie,Student,Southside,3
Fields,Kai,Harvey,Teacher,Southside,
Griffith,Sergio,Shane,Teacher,Westside,
Ross,Ana,Lucille,Teacher,Southside,
Kinney,Jase,Raymond,Student,Northside,7
Gamble,Peyton,Kyle,Student,Northside,10
Small,Mckenna,Chloe,Student,Northside,3
García,Mila,Ivy,Teacher,Southside,
Dalton,Leonel,Tate,Teacher,Southside,
Berger,Karter,Jacob,Teacher,Northside,
Foley,Madilyn,Adriana,Teacher,Westside,
Lynch,Kameron,Dakota,Teacher,Westside,
Boyd,Abigail,Katelyn,Teacher,Westside,
Jimenez,Shelby,Kennedy,Student,Westside,4
Kaufman,Marshall,Jared,Teacher,Southside,
Boyer,Benjamín,Jackson,Student,Westside,4
Ramos,Abby,Nevaeh,Student,Southside,1
Leblanc,Evelynn,Elise,Teacher,Northside,
Richardson,Jaden,Dalton,Teacher,Westside,
Gentry,Taylor,Tyler,Student,Westside,11
William,Samantha,Justice,Teacher,Southside,
Fowler,Miracle,Adalyn,Teacher,Southside,
Madden,Deacon,Isaac,Student,Northside,7
Figueroa,Hailey,Joy,Student,Northside,12
Bean,Nayeli,Lyla,Student,Westside,5
Ferguson,Kamryn,Lilliana,Student,Northside,8
Shepard,August,Santiago,Teacher,Eastside,
Fields,Paige,Jane,Student,Southside,K
Glass,Lennon,Lola,Teacher,Northside,
Lara,Noelle,Paisley,Student,Southside,7
Hancock,Emily,Amara,Student,Eastside,1
Stephenson,Bruce,Nicholas,Teacher,Westside,
Ball,Zion,Brendan,Teacher,Southside,
Parsons,Remi,Rowan,Student,Southside,9
Hinton,Morgan,Alison,Teacher,Westside,
Bennett,Julianna,Charlie,Teacher,Westside,
Wood,Maddison,Priscilla,Teacher,Westside,
Haynes,Nicolás,Josiah,Teacher,Northside,
Bullock,Mathias,Bradley,Student,Northside,6
Meadows,Anthony,Beckett,Teacher,Southside,
Collier,Patrick,Gregory,Student,Eastside,5
Walton,Maci,Allison,Teacher,Westside,
Howell,Mario,Jaxson,Teacher,Southside,
Parker,Sawyer,Nina,Teacher,Eastside,
Moses,Alana,Alina,Teacher,Southside,
Bell,Lane,Judah,Student,Eastside,7
González,Jeremiah,Ivan,Teacher,Southside,
Jackson,Giovanni,Tomás,Student,Westside,2
Vega,Luke,Mark,Student,Westside,11
Mercer,Lydia,María José,Student,Southside,7
Long,Rosemary,Juliette,Teacher,Northside,
Brock,Gabrielle,Elaina,Teacher,Eastside,
Welch,Oscar,Elliot,Student,Southside,2
Briggs,Michelle,Vera,Teacher,Westside,
Mccarty,Gianna,Sabrina,Teacher,Eastside,
Knapp,Jase,Manuel,Teacher,Eastside,
Bender,Camille,Delaney,Student,Eastside,2
Oneal,Jay,Timothy,Student,Southside,8
Mcfadden,Stephanie,Kamryn,Student,Westside,7
Webster,Carson,Luca,Student,Southside,5
Stanley,Juliet,Arianna,Student,Southside,8
Jimenez,Willa,Charlee,Teacher,Westside,
Jensen,Hannah,Michaela,Student,Westside,2
Gibbs,Gunner,Ace,Student,Westside,9
Tran,Eliza,Emely,Student,Westside,8
Pacheco,Liana,Julianna,Teacher,Westside,
Mooney,Luke,Dallas,Teacher,Northside,
Reilly,Avery,Valerie,Student,Eastside,K
Dominguez,Kevin,Josiah,Teacher,Northside,
Terry,Mckenna,Raelyn,Teacher,Northside,
Nelson,Leslie,Emily,Student,Westside,12
Jennings,Wade,Jayson,Student,Northside,7
Grant,Raven,Ariyah,Student,Southside,2
Hicks,Brendan,Roman,Student,Southside,2
Mcdowell,Serena,Aliyah,Teacher,Northside,
Gould,Abram,Brayden,Teacher,Westside,
Houston,Dallas,Zion,Student,Southside,6
Stevenson,Gabrielle,Annalise,Teacher,Westside,
Walsh,Ariana,Alice,Teacher,Southside,
Winters,Ayla,Violet,Teacher,Northside,
Cochran,Gerardo,Clayton,Student,Westside,1
Berger,Kendra,Grace,Student,Northside,K
David,Elise,Salomé,Teacher,Southside,
Mccullough,Benjamin,Tobias,Student,Southside,12
Freeman,Jeffrey,Gunnar,Teacher,Southside,
Yang,Esmeralda,Sophia,Teacher,Southside,
Slater,Aviana,Nova,Teacher,Northside,
Cotton,Phoebe,Alexandra,Student,Eastside,12
Caldwell,Cody,Colt,Student,Southside,6
Kim,Angel,Tucker,Teacher,Southside,
Jackson,Weston,Cruz,Student,Southside,11
Donaldson,Kaiden,Caiden,Student,Eastside,K
Ross,Dakota,Leslie,Teacher,Southside,
Carrillo,Dakota,Raymond,Teacher,Southside,
Daniels,Jase,Ashton,Teacher,Westside,
Keith,Kamryn,Felicity,Student,Southside,12
Mayo,Ashlynn,Fernanda,Student,Westside,6
Melton,Alexander,Malcolm,Student,Northside,11
Pierce,Zariah,Lyric,Student,Eastside,5
Underwood,Reese,Brooke,Student,Northside,7
Gilmore,Winston,Ryder,Student,Westside,K
Moses,Adaline,Lorelei,Student,Eastside,1
Randolph,Henry,Christian,Teacher,Westside,
Duran,Aiden,Amir,Student,Westside,4
Campbell,Dillon,Hank,Student,Northside,11
Gibson,Joseph,Luca,Teacher,Northside,
Combs,Sarai,Nina,Teacher,Northside,
Hardy,Troy,Adrián,Teacher,Eastside,
Martínez,José,Dallas,Student,Westside,K
Walters,Mya,Freya,Teacher,Northside,
Wynn,Daisy,Julia,Student,Westside,11
Fitzpatrick,Jada,Daisy,Teacher,Southside,
Simmons,Matthias,Roberto,Student,Westside,4
Hill,Tessa,Mckenna,Student,Westside,9
Bowman,Giovanni,Paul,Teacher,Eastside,
Cardenas,Tessa,Michelle,Teacher,Westside,
Hoover,Keith,Devin,Student,Northside,4
Fuller,Jayla,Amy,Teacher,Westside,
Perkins,Fiona,Victoria,Teacher,Westside,
Martínez,Nina,Jayla,Student,Eastside,4
Petty,Hannah,Alice,Teacher,Southside,
Clemons,Paisley,Kira,Student,Westside,8
George,Ariella,Daleyza,Student,Southside,8
Barber,Audrey,Arianna,Teacher,Northside,
Lee,Madelyn,Aubrie,Teacher,Eastside,
Rodriguez,Colt,Stephen,Teacher,Southside,
Levy,Kamryn,Joy,Student,Northside,4
Mckay,Rowan,Jacob,Teacher,Northside,
Walker,Weston,Fernando,Student,Southside,10
Lang,Angelo,Ronan,Student,Eastside,3
Green,Wade,Royal,Teacher,Southside,
Vasquez,Delaney,Liliana,Student,Eastside,7
Johnson,Jaden,Charlie,Teacher,Eastside,
Spears,Warren,Martin,Student,Northside,2
Sampson,Nicolas,Bowen,Student,Northside,K
Sánchez,Addison,Cora,Teacher,Northside,
Maldonado,Declan,José,Student,Eastside,8
Bullock,Maté,Israel,Teacher,Westside,
Castaneda,Viviana,Brooklyn,Teacher,Westside,
Hatfield,Bryan,Messiah,Student,Northside,8
Crosby,Lawson,Judah,Student,Eastside,7
West,Giselle,Angela,Student,Eastside,10
Carrillo,Isla,Mila,Student,Westside,K
Hines,Matthew,Ryder,Student,Southside,8
Clemons,Christopher,Henry,Student,Southside,11
Morrow,Peyton,Arya,Teacher,Southside,
Spence,Katherine,Maliyah,Student,Northside,7
Rutledge,Amira,Maddison,Student,Eastside,6
Buckley,Francisco,King,Student,Northside,10
Dickerson,Felicity,Emery,Teacher,Eastside,
Maldonado,Gianna,Alina,Student,Southside,11
Ayala,Jude,Ángel,Student,Southside,4
Bray,Alina,Delilah,Teacher,Northside,
Wong,Nasir,Brian,Teacher,Eastside,
Sampson,Nash,Evan,Teacher,Westside,
Gilbert,Malaysia,Peyton,Teacher,Eastside,
Wolfe,Connor,Beckham,Teacher,Southside,
Dickerson,Kamryn,Amira,Student,Eastside,9
Mccormick,Cole,Andre,Teacher,Westside,
Gibbs,Bella,Braelynn,Student,Northside,8
Moss,Hugo,George,Teacher,Westside,
Watson,Carter,Gideon,Student,Southside,7
William,Adalyn,Raven,Teacher,Westside,
Fuller,Raul,Ali,Teacher,Eastside,
Mayo,Sophie,Aria,Student,Southside,10
Brennan,Jaylen,Ismael,Student,Westside,10
Wong,Dylan,Milan,Student,Westside,5
Estrada,Jonah,Matteo,Teacher,Westside,
Price,Hayden,Owen,Student,Southside,9
Jordan,Adelaide,Izabella,Teacher,Westside,
Robinson,Julie,Lila,Teacher,Southside,
Castaneda,Trevor,Harrison,Student,Westside,5
Guerrero,Lucy,Skye,Student,Westside,9
Bryan,Solomon,Erick,Student,Westside,4
Nixon,Taylor,Armando,Student,Eastside,5
Alvarado,Nyla,Daleyza,Teacher,Northside,
Alston,Amy,Mía,Teacher,Westside,
Key,Phillip,Spencer,Student,Southside,5
Gordon,Leighton,Brynlee,Student,Westside,2
Booth,Roman,Ali,Student,Westside,1
Oneill,Easton,Peter,Teacher,Southside,
Stone,Richard,Maximilian,Teacher,Northside,
Golden,Rachel,Olivia,Teacher,Eastside,
Joyner,Ashlynn,Addyson,Student,Westside,K
Pitts,Ada,Parker,Teacher,Eastside,
Lynn,Tyler,Alejandro,Student,Eastside,5
Fowler,Royal,Jeremy,Student,Westside,12
Newton,Aaliyah,Gracie,Student,Northside,2
Bates,Saylor,Raven,Student,Southside,9
Mcpherson,Everly,Nova,Teacher,Southside,
González,Alejandra,Lexi,Student,Southside,12
Joyce,Annabella,Claire,Teacher,Westside,
Brown,Adalyn,Addyson,Teacher,Westside,
Gamble,Samuel,Gavin,Student,Northside,4
Beasley,Matías,Matías,Student,Eastside,5
Burgess,Colin,Shawn,Teacher,Northside,
Gregory,Gemma,Sara,Student,Southside,11
Ward,Milo,Braxton,Student,Westside,2
Barnett,Hendrix,Donovan,Student,Eastside,10
Thompson,Rhett,Kai,Student,Northside,5
Cooley,Russell,Daxton,Teacher,Eastside,
Carver,Harlow,Lyla,Student,Westside,10
Coleman,Kade,Finley,Student,Northside,11
Williamson,Kayden,Tomás,Teacher,Northside,
Rosales,Caroline,Amanda,Student,Southside,6
Kelley,Kade,Israel,Teacher,Westside,
Lopez,Sara,Gabriella,Student,Southside,9
Gallegos,Rocío,Luciana,Student,Eastside,8
Woods,Skyler,Avery,Teacher,Eastside,
Middleton,Elle,Sydney,Student,Westside,6
Bates,Ariyah,Angela,Teacher,Westside,
Mueller,Quinn,Kyle,Teacher,Westside,
Patrick,Jazmín,Emersyn,Student,Southside,8
Charles,Sawyer,Felicity,Student,Southside,2
Pitts,Micah,Tomás,Teacher,Southside,
Dickerson,Paxton,Kameron,Student,Northside,7
Giles,Annabella,Laura,Student,Northside,12
Meyers,Diego,Ángel,Student,Southside,5
Palmer,Daniella,Hope,Teacher,Northside,
Kirby,Matthias,Felix,Teacher,Northside,
Hammond,Cyrus,Augustus,Student,Westside,10
Haynes,Lilah,Samara,Student,Westside,7
Lawson,Nathan,Lawrence,Teacher,Southside,
Wagner,Lila,Tatum,Student,Northside,4
Benton,Benson,Lincoln,Teacher,Southside,
Todd,Daphne,River,Teacher,Southside,
Farmer,Carolina,Elena,Student,Westside,12
Castillo,Logan,Nicole,Student,Southside,5
Pope,Adelaide,Angel,Teacher,Northside,
Montoya,Leslie,Briana,Student,Southside,2
Mcintyre,John,Patrick,Teacher,Westside,
Rios,Jesús,Maximiliano,Teacher,Northside,
Orr,Maxwell,Anthony,Teacher,Westside,
Davenport,Bruce,Trevor,Teacher,Northside,
Cooley,Camila,Valeria,Student,Southside,12
Sanders,Serenity,Madilyn,Student,Westside,1
Gentry,Vera,Heidi,Student,Northside,7
Hamilton,Dawson,Garrett,Student,Westside,2
Marsh,Carolina,Eliza,Student,Eastside,8
Rodgers,Walter,Aarón,Teacher,Southside,
Woods,Justice,Santiago,Student,Westside,11
Swanson,Solomon,Chase,Teacher,Westside,
Hoffman,Colin,Jayden,Teacher,Northside,
Ingram,Kennedi,Megan,Teacher,Eastside,
Mckinney,Remington,Kane,Teacher,Westside,
Pratt,Adelina,Kyleigh,Teacher,Eastside,
Cochran,Rylie,Mariah,Teacher,Northside,
Ayers,Ainsley,Sara,Teacher,Southside,
Schultz,Maté,Emilio,Teacher,Southside,
Oliver,Tristan,Kai,Teacher,Southside,
Yang,Saylor,Mary,Teacher,Northside,
Cline,Theodore,Henry,Teacher,Westside,
Ball,Paisley,Miriam,Student,Eastside,12
Pitts,Tanner,Walker,Student,Southside,4
Wall,Finley,Baylee,Teacher,Northside,
Randall,Francisco,Damian,Teacher,Southside,
Dudley,Raiden,Owen,Student,Westside,4
Oconnor,Sebastián,Julius,Teacher,Westside,
Dunn,Bryce,Jaxson,Teacher,Northside,
Lane,Taylor,Skyler,Student,Eastside,12
Carlson,Cecilia,Alexa,Student,Eastside,12
Witt,Bailey,Nyla,Student,Southside,11
Curry,Gwendolyn,Macie,Student,Eastside,11
Witt,Melanie,Brooke,Teacher,Northside,
Rios,Caleb,Sullivan,Student,Northside,8
Terrell,Beckett,Levi,Teacher,Southside,
Ashley,Aubree,Harlow,Teacher,Northside,
Green,Chance,Gage,Student,Northside,4
Hebert,Kamden,Dillon,Teacher,Southside,
Wood,Aylin,Lia,Student,Eastside,4
House,Kash,Alexander,Teacher,Eastside,
Patterson,Eloise,Danielle,Student,Westside,12
Abbott,Ana,Chloé,Teacher,Eastside,
Dorsey,Graham,Lukas,Student,Eastside,2
Norman,Anastasia,Jade,Student,Westside,9
Mccray,Hector,Evan,Teacher,Westside,
Mays,Lola,Eliana,Teacher,Northside,
Stevenson,Abel,Aaron,Teacher,Westside,
Glover,Damien,Solomon,Teacher,Northside,
Hinton,Easton,Malik,Student,Southside,K
Bradford,Alana,Savannah,Student,Southside,K
Blanchard,Ava,María José,Teacher,Northside,
Mosley,Cyrus,Troy,Student,Westside,11
Ramos,Brynlee,Nadia,Teacher,Eastside,
Fox,Zoey,Chloe,Student,Southside,6
Grant,Addison,Tatum,Student,Southside,9
Fitzgerald,Erin,Gabrielle,Student,Eastside,5
Pickett,Philip,Ryker,Teacher,Westside,
Castro,Alicia,Liliana,Teacher,Northside,
Summers,Nora,Millie,Teacher,Eastside,
Gray,Vivienne,Charlie,Teacher,Eastside,
Baxter,Óscar,Moises,Student,Eastside,11
Pérez,Theodore,Charlie,Teacher,Southside,
Myers,Odin,Everett,Teacher,Westside,
Figueroa,Alessandra,Josephine,Student,Eastside,4
Patel,Nova,María,Teacher,Northside,
Maldonado,Jazmin,Leila,Student,Northside,3
Alvarado,Elisa,Dylan,Teacher,Southside,
Thomas,Kevin,Remington,Student,Northside,7
Lang,Tatum,Jayla,Student,Eastside,8
Russo,Parker,Mariah,Teacher,Southside,
Walters,Eduardo,Pedro,Student,Eastside,9
Santos,Jordyn,Nora,Student,Eastside,10
Butler,Gracie,Logan,Teacher,Eastside,
Pearson,Greyson,Jake,Student,Southside,2
Reese,Matilda,Alicia,Teacher,Westside,
Mcdonald,Oscar,Malik,Student,Northside,6
Baxter,Zayne,Sullivan,Teacher,Southside,
Frazier,Elena,Jennifer,Teacher,Westside,
Golden,Harper,Briana,Teacher,Westside,
Vega,Edgar,Declan,Student,Westside,K
Willis,Bodhi,Emmett,Teacher,Northside,
Ingram,Andre,Noah,Student,Eastside,6
Underwood,Prince,Phoenix,Student,Southside,7
Beasley,Johan,Elliot,Student,Southside,3
Sparks,Austin,Micah,Student,Southside,12
Russell,Karter,Martín,Teacher,Westside,
Hardin,Esmeralda,Celeste,Teacher,Northside,
Sampson,Judah,Camden,Teacher,Eastside,
Marks,Winston,Ellis,Teacher,Southside,
Walters,Wade,Milo,Teacher,Westside,
Gregory,Nylah,Diana,Student,Westside,12
Mullins,Eden,Elena,Student,Southside,11
Dennis,Nevaeh,Annabella,Student,Northside,7
Mckee,Ariah,Jordyn,Teacher,Southside,
Chavez,Zion,Travis,Teacher,Westside,
Perkins,Rowan,Richard,Student,Southside,9
Dawson,Joaquin,Hüseyin,Student,Southside,7
Jacobs,Ana,Aliyah,Student,Southside,11
Berger,Brynlee,Phoebe,Student,Eastside,5
Chandler,Juan,Spencer,Teacher,Eastside,
Mcmillan,Kameron,Walter,Student,Northside,6
Bush,Audrey,Kamryn,Teacher,Southside,
Waller,Fabian,Graham,Teacher,Westside,
Sánchez,Juniper,Phoenix,Teacher,Northside,
Lott,Nico,Cash,Teacher,Southside,
Sánchez,Evan,Rhett,Student,Northside,11
Hamilton,Hope,Lilliana,Teacher,Westside,
Spencer,Jessica,Elliana,IT,Southside,
Odonnell,Madeline,Mariah,Student,Northside,5
Freeman,Leila,Maria,Student,Eastside,10
Booth,James,Peyton,Student,Southside,5
Crawford,Celeste,Ryleigh,Teacher,Southside,
Parker,Hazel,Aniyah,Student,Westside,5
Stafford,Autumn,Nayeli,Teacher,Eastside,
Stephenson,Philip,Benjamin,Student,Southside,9
Mccullough,Adeline,Morgan,Teacher,Northside,
Hernández,Sarai,Jacqueline,Student,Northside,8
Cole,Talia,Brianna,Student,Northside,8
Mccormick,Jett,Tanner,Teacher,Eastside,
Weber,Bryce,Porter,Teacher,Northside,
Charles,Francesca,Raven,Student,Southside,7
Chase,Jude,Emerson,Student,Eastside,3
Mathis,Samantha,Kinsley,Teacher,Southside,
Thompson,Jazmin,Scarlett,Student,Eastside,1
West,Emily,Eloise,Student,Northside,11
Underwood,Gunnar,Kaleb,Teacher,Southside,
Pérez,Omar,Vincent,Student,Southside,10
Cervantes,Lucy,Layla,Teacher,Eastside,
Cook,Eric,Walker,Teacher,Eastside,
Ingram,Adeline,Maria,Teacher,Eastside,
Cross,Remi,Evie,Teacher,Southside,
Maynard,Kamden,Cole,Teacher,Westside,
Guerra,Angelina,Addilyn,Teacher,Westside,
Goodman,Averie,Jordan,Student,Southside,2
Sampson,Easton,Timothy,Student,Northside,8
Sanders,Eleanor,Lorelei,Teacher,Northside,
Mcbride,Journey,Madelyn,Teacher,Westside,
Cunningham,Evangeline,Aubree,Student,Westside,7
Garza,Marcus,Amari,Student,Eastside,3
Hale,King,Enzo,Student,Westside,4
Torres,Jayson,Graham,Teacher,Eastside,
Holmes,Braylen,Landen,Teacher,Eastside,
Meadows,Caden,Erik,Teacher,Southside,
Gates,Skyler,Jayceon,Student,Northside,5
Mcfarland,Gianna,Lila,Teacher,Northside,
Barrera,Macie,Amanda,Teacher,Eastside,
Frost,Erick,Jaden,Student,Westside,11
Simon,Adelyn,Addyson,Teacher,Northside,
Sawyer,Donovan,Ryder,Teacher,Westside,
King,Tate,Kevin,Student,Westside,6
Branch,Jax,Xavier,Student,Westside,9
Albert,Evelynn,Kimberly,Teacher,Southside,
Bean,Margaret,Aliyah,Teacher,Northside,
May,Israel,August,Teacher,Westside,
Cleveland,Aiden,Jayson,Teacher,Northside,
Briggs,Mason,Kade,Teacher,Eastside,
Stafford,Matías,Kai,Student,Eastside,5
Cross,Amy,Kylee,Teacher,Eastside,
Bush,Evelyn,Miracle,Student,Northside,3
Jefferson,Justice,María,Student,Northside,8
Munoz,Nicolas,Ezekiel,Student,Eastside,4
Duncan,Viviana,Sara,Student,Eastside,11
Christian,Rachel,Autumn,Teacher,Northside,
Roach,Miranda,Clara,Teacher,Eastside,
Livingston,Brendan,Reed,Student,Westside,4
Cortez,Leo,Felix,Teacher,Eastside,
Francis,Angel,Brycen,Student,Westside,12
Sloan,Jett,Jay,Student,Eastside,7
Schroeder,Aubree,Skylar,Student,Westside,4
Villarreal,Mariah,Aubrey,Teacher,Southside,
Peck,Sebastian,Abram,Student,Northside,8
Dillon,Giovanni,Steven,Student,Westside,5
Bond,River,Aidan,Student,Westside,8
Yates,Daxton,Frank,Student,Southside,7
Buck,Amelia,Elizabeth,Student,Eastside,11
Cooper,Kash,Michael,Teacher,Northside,
Boone,Camilla,Jenna,Student,Eastside,1
Grant,Abby,Jocelyn,Student,Northside,2
Owen,Royce,Cyrus,Student,Southside,4
Beck,Aiden,Orion,Teacher,Northside,
Spears,Joy,Macy,Student,Eastside,6
Luna,Phoenix,June,Student,Eastside,6
Drake,Albert,Jackson,Teacher,Eastside,
Davidson,Gracelynn,Juliet,Student,Northside,7
Golden,Chloe,Adelina,Teacher,Westside,
Marks,Brynn,Leia,Student,Southside,10
Walton,Agustín,Adrian,Student,Westside,9
Acosta,Amir,Adriel,Student,Westside,3
Mayo,Eleanor,Gabriela,Teacher,Northside,
House,Rylee,Amanda,Student,Westside,K
Owen,Audrey,Celeste,Teacher,Northside,
Marshall,June,Ellie,Student,Westside,K
Hancock,Jaden,David,Teacher,Southside,
Pearson,Jaden,Jude,Teacher,Westside,
Sullivan,Rachel,Remi,Teacher,Northside,
Irwin,Alondra,Aleah,Student,Westside,8
Mcbride,Margot,Cadence,Teacher,Westside,
Montgomery,Marley,Sofia,Teacher,Westside,
Hanson,Alessandra,Juliana,Teacher,Eastside,
Townsend,Thiago,Johan,Teacher,Eastside,
Santana,Ashley,Daniella,Student,Southside,3
Chandler,Kasen,King,Student,Westside,3
Velez,Lawson,Riley,Teacher,Eastside,
Watts,Katie,Amy,Student,Westside,9
Macias,Solomon,Lincoln,Student,Southside,3
Petersen,Natalie,Georgia,Student,Southside,10
Chambers,Kian,Nolan,Student,Southside,2
Baker,Daniella,Layla,Teacher,Northside,
Hall,Eloise,Gabriela,Teacher,Eastside,
Pennington,Julian,Jeffrey,Student,Northside,4
Bailey,Kira,Adaline,Teacher,Eastside,
Pena,Conor,Shane,Teacher,Eastside,
Hernández,Diego,Martin,Teacher,Eastside,
Ramírez,Brynlee,Eva,Teacher,Eastside,
Gaines,Rory,Braxton,Teacher,Westside,
Snider,Kaitlyn,Elizabeth,Teacher,Southside,
López,Antonio,Beau,Teacher,Westside,
Dixon,Zayn,Elliott,Teacher,Northside,
Norris,Evelynn,Lacey,Teacher,Eastside,
Meyers,Leland,Christian,Teacher,Westside,
Acosta,Jayla,Ashlynn,Student,Westside,2
Stein,Gabriel,Julio,Student,Northside,3
Best,Franklin,Jaxton,Student,Westside,K
Holder,Allie,Gracelynn,Teacher,Eastside,
Meyers,Gideon,Lukáš,Student,Southside,12
Hines,Tessa,Dakota,Student,Southside,11
Poole,Amy,Vivian,Student,Southside,K
Ellis,Celeste,Mía,Teacher,Westside,
Neal,Aurora,Josephine,Student,Westside,3
Mullins,Matilda,Maya,Student,Northside,3
Koch,Benjamin,Zayne,Teacher,Southside,
Collier,Adrián,Zane,Teacher,Eastside,
Miles,Kenzie,Catherine,Student,Westside,1
Sutton,Riley,Tucker,Teacher,Northside,
Joseph,Hank,Maté,Teacher,Northside,
Hodge,Jaxton,Arthur,Teacher,Southside,
Vaughn,Dominick,Nicolás,Teacher,Southside,
Powers,Sawyer,Franklin,Teacher,Northside,
Gamble,Aubrie,Sienna,Student,Eastside,12
Morton,Timothy,Arthur,Teacher,Northside,
Guerra,Ashley,Adalynn,Student,Southside,8
Joyner,Hendrix,Andy,Teacher,Northside,
Martin,Matias,Nicholas,Student,Westside,5
López,Adelaide,Kira,Teacher,Southside,
Lambert,Garrett,Legend,Teacher,Westside,
Strong,Emmett,Desmond,Teacher,Southside,
Chase,Kyrie,Fernando,Student,Northside,11
Parsons,Mason,Jayce,Student,Westside,5
Ewing,Moises,Adrian,Teacher,Northside,
Boyd,John,Lincoln,Teacher,Northside,
Bridges,Corbin,Erik,Teacher,Westside,
Larsen,Tomás,Pedro,Teacher,Eastside,
Campbell,Nova,Regina,Student,Northside,7
Snow,Trevor,Weston,Teacher,Northside,
Flowers,Aria,Phoenix,Teacher,Northside,
Hurst,Jasper,Calvin,Student,Westside,11
Wyatt,Zoe,Kali,Teacher,Eastside,
Pérez,Caroline,Phoebe,Teacher,Southside,
Tran,Lilliana,Jayla,Teacher,Eastside,
Herman,Layla,Marlee,Teacher,Eastside,
Gordon,Annalise,Audrey,Student,Northside,K
Branch,Greyson,Iker,Teacher,Southside,
Medina,Alina,Liana,Teacher,Southside,
Mathis,Ashton,Damian,Student,Southside,12
Cunningham,Hayden,Kelsey,Student,Southside,3
Graham,Lucas,Bryce,Teacher,Westside,
Espinoza,Evan,Paxton,Student,Eastside,4
Lara,Aarón,Martín,Teacher,Eastside,
Fox,Noah,Luis,Teacher,Northside,
Phelps,Roberto,Rafael,Student,Northside,K
Battle,Gemma,Alivia,Teacher,Eastside,
Henson,Messiah,Pedro,Teacher,Northside,
Marsh,Giselle,Ayla,Teacher,Northside,
French,Evelynn,Baylee,Student,Eastside,3
Crosby,Conor,Benson,Teacher,Southside,
Bryan,Katherine,Lennon,Teacher,Westside,
Shaw,Scott,Ryder,Teacher,Northside,
Dennis,Kason,Jeremiah,Student,Northside,K
Crosby,Henry,Kamden,Student,Northside,12
Freeman,Audrey,Ryleigh,Teacher,Eastside,
Lambert,Zayne,Joshua,Student,Westside,12
Sandoval,Katelyn,Briella,Teacher,Northside,
Simon,Máximo,Bodhi,Teacher,Southside,
Jimenez,Barrett,Levi,Student,Eastside,6
López,Thea,Sarai,Teacher,Eastside,
Santiago,José,Grant,Student,Northside,12
Moran,Veronica,Kennedy,Student,Southside,4
Craft,Athena,Carly,Teacher,Southside,
Pérez,Remington,Elliana,Student,Southside,10
Graves,Nora,Amaya,Student,Eastside,4
Duran,Leland,Gerardo,Teacher,Northside,
Weber,Alexia,Jada,Student,Southside,4
Vincent,Reagan,Janelle,Teacher,Eastside,
Nelson,Keegan,Alan,Teacher,Eastside,
Willis,Annie,Bailey,Student,Westside,9
Dillard,Tessa,Payton,Teacher,Eastside,
Walls,Elizabeth,Felicity,Student,Northside,5
Ratliff,Nylah,Lexi,Teacher,Eastside,
Blake,Ashlynn,Ashlyn,Student,Northside,6
Sharpe,Julian,Emanuel,Teacher,Eastside,
Thompson,Johnny,Justin,Teacher,Northside,
Snider,Zion,Oscar,Student,Southside,10
Atkins,Eve,Jazmín,Student,Southside,4
Ramirez,Aiden,Avery,Teacher,Northside,
Humphrey,Royal,Ezekiel,Student,Eastside,4
Acosta,Camden,Hüseyin,Teacher,Westside,
Rosario,Preston,Johan,Student,Westside,10
Marshall,Leslie,Vivian,Teacher,Southside,
Barry,Sadie,Lucille,Teacher,Westside,
Holder,Andrés,Moises,Student,Southside,11
Preston,Leonel,Declan,Student,Eastside,5
Sears,Remington,Blake,Student,Southside,1
West,Kimberly,Brooke,Student,Northside,11
Brewer,Cesar,Johnathan,Student,Eastside,6
Witt,Rosalie,Joanna,Student,Eastside,11
Griffith,Lily,Kaydence,Teacher,Eastside,
Russo,Selah,Luciana,Student,Eastside,2
Torres,Kendra,Hannah,Student,Northside,10
Martínez,Chloe,Lucy,Student,Southside,9
Morrow,Sergio,Hendrix,Teacher,Southside,
Drake,Aubree,Rosemary,Teacher,Westside,
Ortiz,Ryker,Leland,Student,Eastside,8
Carver,Lydia,Shelby,Student,Eastside,4
Eaton,Cecilia,Daphne,Teacher,Southside,
Holland,August,Emmanuel,Student,Westside,3
Griffith,Cecilia,Eva,Teacher,Eastside,
Barrett,August,Zane,Student,Southside,10
Robbins,Leon,Lennox,Teacher,Westside,
Craig,Davis,Corbin,Student,Northside,12
Wagner,Brooke,Catherine,Student,Southside,8
Payne,Jaime,Zion,Student,Southside,8
Sullivan,Alexander,Keegan,Teacher,Northside,
Booker,Eduardo,Samuel,Teacher,Northside,
Moody,Alayna,Sienna,Teacher,Southside,
Adkins,Jaylen,Christian,Teacher,Southside,
Mcintosh,Chelsea,Allie,Teacher,Eastside,
Rodriquez,Annie,Mya,Teacher,Westside,
Kelly,Addison,Kylee,Student,Northside,6
Burton,Manuel,Zayne,Teacher,Southside,
Poole,Josiah,Benjamín,Student,Eastside,2
Stevens,Delaney,Anastasia,Student,Eastside,4
Warner,Fabian,Kian,Teacher,Southside,
Cantrell,Anderson,Rowan,Teacher,Eastside,
